"Refs","Value","Footprint","Qty","DNP"
"BT1","Li-ion 3.7V 500-1200mAh","","1",""
"C1","100nF","","1",""
"C2","100nF","","1",""
"C3","100nF","","1",""
"C4","100nF","","1",""
"D1","1N5819","","1",""
"R1","330","","1",""
"R2","330","","1",""
"R3","100k","","1",""
"R4","100k","","1",""
"SW1","Button A","","1",""
"SW2","Button B","","1",""
"U1","ESP32-C3 SuperMini","","1",""
"U2","SSD1306 OLED 128x64 (0x3C)","","1",""
"U3","MAX30102 HR/SpO2 (0x57)","","1",""
"U4","MPU6050 GY-521 (0x68)","","1",""
"U5","TP4056 + DW01A/FS8205","","1",""
"U6","MT3608 boost - set to 5.1V","","1",""
